Year,Urban Land,Aggricultural Land,Land Conversion Rate,Urban Land Gap,Expected Population,Agricultural Scarcity Index,Mean Household Size,Income per Capita,Transport Cost per km,Agricultural Rent,Max Feasible Conversion,AMM Consistent Economic Land Conversion Demand,Land Conversion Pressure Factors,Scenario,Empirical Land Take Cap km2 per year,Urban Land Increase since 2025,Urban Land Growth Percent since 2025
2033,185480.0,1596620.0,540.0,29522.44408766125,452480000.0,0.1914057318800605,2.2343608915805815,45114.91804171351,0.47,29813.946329970815,540.0,9840.814695887084,9840.814695887084,eea_recent_540_km2_per_year,540.0,3780.0,2.080352228948823
2034,186020.0,1596080.0,540.0,33050.25853882989,452240000.0,0.19081340458609017,2.2300657801330086,45570.75996814599,0.47,29751.662695937426,540.0,11016.75284627663,11016.75284627663,eea_recent_540_km2_per_year,540.0,4320.0,2.3775454045129374
2035,186560.0,1595540.0,540.0,36612.71216014563,452000000.0,0.1902244815229294,2.2263075576163827,46031.88489537457,0.47,29683.57598792154,540.0,12204.237386715211,12204.237386715211,eea_recent_540_km2_per_year,540.0,4860.0,2.674738580077052
2036,187100.0,1595000.0,540.0,40135.038094541495,451600000.0,0.1895717687015942,2.2230191129143346,46498.35990725048,0.47,29610.95176367443,540.0,13378.34603151383,13378.34603151383,eea_recent_540_km2_per_year,540.0,5400.0,2.971931755641166
2037,187640.0,1594460.0,540.0,43699.957903304545,451200000.0,0.1889227426657761,2.220141723800043,46970.253003942664,0.47,29532.731065857948,540.0,14566.652634434848,14566.652634434848,eea_recent_540_km2_per_year,540.0,5940.0,3.2691249312052806
2038,188180.0,1593920.0,540.0,47312.47316290965,450800000.0,0.1882773716057771,2.2176240083250374,47447.6331152381,0.47,29450.146842515434,540.0,15770.82438763655,15770.82438763655,eea_recent_540_km2_per_year,540.0,6480.0,3.566318106769395
2039,188720.0,1593380.0,540.0,50977.25020514839,450400000.0,0.18763562407588197,2.215421007284408,47930.57011404559,0.47,29364.18447147717,540.0,16992.416735049464,16992.416735049464,eea_recent_540_km2_per_year,540.0,7020.0,3.8635112823335094
2040,189260.0,1592840.0,540.0,54698.669864565745,450000000.0,0.18699746898916567,2.2134933813738566,48419.13483010626,0.47,29275.63128562355,540.0,18232.889954855247,18232.889954855247,eea_recent_540_km2_per_year,540.0,7560.0,4.160704457897624
2041,189800.0,1592300.0,540.0,58425.64330268954,449500000.0,0.18632142479485952,2.2118067087021247,48913.39906391408,0.47,29185.11619293558,540.0,19475.214434229845,19475.214434229845,eea_recent_540_km2_per_year,540.0,8100.0,4.45789763346176
2042,190340.0,1591760.0,540.0,62215.204047577776,449000000.0,0.1856491190758696,2.210330870114359,49413.4356008498,0.47,29091.863559117653,540.0,20738.40134919259,20738.40134919259,eea_recent_540_km2_per_year,540.0,8640.0,4.755090809025875
2043,190880.0,1591220.0,540.0,66071.06801746876,448500000.0,0.18498052000480822,2.2090395113500643,49919.3182255317,0.47,28996.536139177773,540.0,22023.68933915625,22023.68933915625,eea_recent_540_km2_per_year,540.0,9180.0,5.052283984589989
2044,191420.0,1590680.0,540.0,69996.76482387475,448000000.0,0.18431559611329648,2.2079095724313063,50431.121736386645,0.47,28899.663155972627,540.0,23332.254941291583,23332.254941291583,eea_recent_540_km2_per_year,540.0,9720.0,5.349477160154104
2045,191960.0,1590140.0,540.0,73995.66974261997,447500000.0,0.18365431628691478,2.206920875877393,50948.921960445,0.47,28801.667017705084,540.0,24665.22324753999,24665.22324753999,eea_recent_540_km2_per_year,540.0,10260.0,5.646670335718218
2046,192500.0,1589600.0,540.0,78071.02871820639,447000000.0,0.18299664976023808,2.206055766392719,51472.795768362994,0.47,28702.884691766536,540.0,26023.67623940213,26023.67623940213,eea_recent_540_km2_per_year,540.0,10800.0,5.943863511282332
2047,193040.0,1589060.0,540.0,82225.97906311287,446500000.0,0.1823425661119541,2.205298795593629,52002.82108967619,0.47,28603.58480365773,540.0,27408.65968770429,27408.65968770429,eea_recent_540_km2_per_year,540.0,11340.0,6.241056686846447
2048,193580.0,1588520.0,540.0,86463.5672599104,446000000.0,0.18169203526006358,2.2046364461444257,52539.07692828778,0.47,28503.981315974932,540.0,28821.1890866368,28821.1890866368,eea_recent_540_km2_per_year,540.0,11880.0,6.538249862410561
2049,194120.0,1587980.0,540.0,90786.76463881455,445500000.0,0.1810450274571606,2.2040568903763726,53081.643378195535,0.47,28404.2444714509,540.0,30262.25487960485,30262.25487960485,eea_recent_540_km2_per_year,540.0,12420.0,6.835443037974676
