Score Train RMSE Percent,Initial Urban Land,Urban Expansion Adjustment Time,Soil Protection Factor,Spatial Planing Factor,Urban Population Density,Reference Initial Land Demand per Capita,Housing Preference Share Alpha,Long Run Transport Cost per km,RMSE Error Percent,MAE Error Percent,Max Absolute Error Percent,Mean Error Percent
1.6132455921846995,153803.42741429317,12.618281875753622,0.6949475775732102,1.2382871494563736,2158.8111543431196,0.0005506558499375103,0.11034658307474644,0.3723014830629388,1.6132455921846995,1.406220658785143,3.222581730596407,-0.16245508701572078
1.6139041276383856,154780.1552299529,19.88783779102245,0.574941843570687,1.0845541623986803,1488.8336306749172,0.000718662354705266,0.16684026918173647,0.35758378868356955,1.6139041276383856,1.2905465282796302,3.661438392154262,0.43904384600289054
1.6144365499494187,154914.0511559158,16.210290674479797,0.48019193934154336,0.9292961865788893,1703.3106553237471,0.0006111760647401913,0.2037286320949796,0.3700748995413172,1.6144365499494187,1.376507471165509,3.276034103943869,0.07882476155964796
1.6144927248655059,154764.44495731438,19.61265800137587,0.6866256669464521,1.0905811342409586,2090.0317078016024,0.0007109960403194819,0.15226941955312792,0.3572283989899808,1.6144927248655059,1.2829219841421677,3.68985117659155,0.4642890025305409
1.6150778598540902,154640.565282899,19.07502093293488,0.34624570773164864,1.2818647506902425,1981.6659405966618,0.0007577504004726825,0.13051392920705135,0.3564925456774644,1.6150778598540902,1.2747570397707457,3.762041907062948,0.4871422721083447
1.615403979087998,154039.2743914907,18.688276561868847,0.7242340309087558,1.2183357895598865,1477.6380508682237,0.0004447766535843984,0.14181063764163188,0.356012359195311,1.615403979087998,1.3303217178605948,3.7471650073416227,0.21561356896591294
1.6165160802363263,154840.7001691877,19.73432101065957,0.6003048067535375,1.1526232778705316,1707.9446386915658,0.0005594036013523391,0.10228411910266147,0.3645202509055771,1.6165160802363263,1.4208900906095032,3.227133446125139,-0.5617573357858948
1.617091509845949,153944.42059996055,18.261386075238285,0.5704335532261012,1.1273702751816679,1597.8324145263325,0.0006289347959696625,0.17017067457620963,0.36485962606827865,1.617091509845949,1.4508441877242908,2.6296137333070315,-0.5254548403348077
1.6178215855855762,154964.88631273468,15.483166762207256,0.5125902534731123,1.2375080487743966,2056.5367586334023,0.0004016528016098554,0.12065369091280292,0.3734231718762713,1.6178215855855762,1.4207459958581758,3.3099242084897904,-0.39094340615909495
1.618290457557629,154913.91667060778,17.629148354307542,0.3629007423277417,1.2664741674362192,2279.710652369841,0.0007861667746578521,0.10142500444511886,0.37029410669957863,1.618290457557629,1.421333636620795,3.2759444470718537,-0.5239021162362213
1.6187467832793858,154760.51300291938,15.148913465598548,0.17778509800394693,1.177966321910628,2172.0819522211423,0.0007185701534799246,0.14980224250576735,0.3743811354800094,1.6187467832793858,1.4357079580790917,3.1736753352795883,-0.344432615410024
1.619430977577279,154381.1699618066,18.885457956796095,0.6676316148564366,1.1601893603780367,1249.7135863561325,0.0007166252742161829,0.20519011760962108,0.36078266334887044,1.619430977577279,1.348286682325595,3.608996389073317,0.19773984746868098
1.6200528669695342,154521.7132548429,12.796564037780499,0.38990206198635896,0.984001872372418,1511.0255685407892,0.0006098821304119055,0.10470972535605569,0.37823608943524767,1.6200528669695342,1.4412502861373053,3.0144755032286046,-0.45376750179251674
1.6207911975050457,154634.27639586822,19.904290977951902,0.4755837381723643,1.0654787915944584,1322.3331730727637,0.00039599267712186163,0.13656612138547655,0.36412628232900845,1.6207911975050457,1.434626912242095,3.0895175972454796,-0.5617727822306302
1.6211656609525813,154530.1485621495,16.281943272712134,0.34624570773164864,1.0768861244335448,1752.5981467281358,0.0007346538562920062,0.19707559795611657,0.3710991317839242,1.6211656609525813,1.4329073353297992,3.020099041432996,-0.29211861835614006
1.6213582011116972,153841.2188989602,18.93080096771705,0.29371500284465013,1.0341516686318062,2037.8145067626106,0.0007364872223349445,0.2115832473070699,0.3633548507512227,1.6213582011116972,1.4456051487517643,2.588137643118799,-0.4394342446914317
1.621758949830872,154640.565282899,18.626785689651463,0.46739951571942207,1.0239259021033935,1833.6652166608667,0.0005160576165189234,0.13051392920705135,0.3569579942250676,1.621758949830872,1.28531756641019,3.7670963843027825,0.46883285520150697
1.622008772102326,154283.16723713384,18.8583594697796,0.7734453906916756,0.8143617968911847,2212.904216413271,0.0007923348679854491,0.13867405385904608,0.356527888398214,1.622008772102326,1.304321504466992,3.8361759126437724,0.3687484386463183
1.622221926631769,154975.36075346198,19.01348493323606,0.7503171235630679,0.8339612391934214,1688.969035750667,0.0006573039241632481,0.12597255946668662,0.3572152827600631,1.622221926631769,1.255746405004195,3.6831943087034733,0.5794320385646823
1.6237590587473323,154860.76588541432,18.216203181066216,0.6136543097043928,1.0072638554795135,1780.301509114398,0.0003793701323008675,0.12118958857806636,0.357597375680484,1.6237590587473323,1.2714017699604958,3.7132322419091985,0.5339076386112317
1.624306370893604,153413.803331418,17.995976839003127,0.3756576059285958,0.8932690329218844,1280.7542656405597,0.0004725221597095513,0.1501056891054055,0.36083314943749434,1.624306370893604,1.4447243225823263,2.7090290385969307,-0.48463231029395787
1.6245080509614007,154825.60258800327,19.6529720368502,0.5414096059212523,1.1203532763453623,1318.629792752216,0.0004501002746067522,0.1188452583492958,0.3535271010443431,1.6245080509614007,1.263334338763024,3.7576373205382136,0.5737244153294899
1.6248353684163457,154596.3933883029,19.343385946258316,0.5552411012876357,1.0840191762783828,1287.6473596308042,0.0006236863452713118,0.16674455110957448,0.3578957856876492,1.6248353684163457,1.3113553884397107,3.739757122424734,0.3908669109196903
1.626274782823055,154725.41146522175,19.61081008958392,0.6341993308000906,0.9947072052533239,1792.9586532755784,0.0007465525582919412,0.1726696151254163,0.35822215985345046,1.626274782823055,1.3026985424895203,3.7230915261439312,0.43212276413012585
1.626632138052197,153652.83448885652,18.114313892876314,0.5566704398222764,1.176539025104204,1516.6721428743767,0.0005262332643844074,0.10537960049374491,0.3621606613785931,1.626632138052197,1.4561295038456916,2.4352229925710125,-0.7487284164119733
1.6296263811052494,154630.65887717262,15.123440229369258,0.30263040500463034,0.9078917890042815,1347.8236897454758,0.0007380062163070734,0.12073972268749594,0.3663641572937589,1.6296263811052494,1.3096720974174716,3.74839292522123,0.4175666618048604
