Year,Urban Land,Aggricultural Land,Land Conversion Rate,Urban Land Gap,Expected Population,Agricultural Scarcity Index,Populational Need of Kcal in Km2,Yield,Mean Household Size,Income per Capita,Transport Cost per km,Agricultural Rent,Scenario,Urban Expansion Adjustment Time,Urban Land Increase since 2025,Urban Land Growth Percent since 2025
2041,222165.91437595824,1559934.0856240417,3997.2980401081772,27981.08628075724,449500000.0,0.16248011714944796,253458.27297761128,2200873119.8498883,2.2118067087021247,49134.806871240624,0.47,26934.591676110747,medium_7y,7,40465.91437595824,22.270728880549395
2042,226163.2124160664,1555936.7875839334,4105.447617573368,28738.13332301358,449000000.0,0.15984042711235535,248701.60068724205,2240472109.790421,2.210330870114359,49680.868338074404,0.47,26556.482831101344,medium_7y,7,44463.21241606641,24.470672766134506
2043,230268.66003363978,1551831.33996636,4215.992750204833,29511.949251433834,448500000.0,0.15723068226057546,243995.5003362538,2281142476.9430466,2.2090395113500643,50238.46323504707,0.47,26172.62146302061,medium_7y,7,48568.66003363978,26.730137607947047
2044,234484.65278384462,1547615.3472161551,4329.7262372735,30308.083660914504,448000000.0,0.154651724393099,239341.382144203,2322907952.729335,2.2079095724313063,50807.99191917177,0.47,25785.081203146005,medium_7y,7,52784.65278384462,29.050441818296434
2045,238814.37902111813,1543285.6209788816,4447.346474204956,31131.425319434697,447500000.0,0.15210393913536452,234739.82216185506,2365800122.388622,2.206920875877393,51389.87156902111,0.47,25395.546906817905,medium_7y,7,57114.37902111813,31.433340132701225
2046,243261.7254953231,1538838.2745046767,4569.479228518475,31986.354599629325,447000000.0,0.1495873829499602,230190.79026638708,2409857489.77205,2.206055766392719,51984.53805033157,0.47,25005.378346066875,medium_7y,7,61561.7254953231,33.88097165400281
2047,247831.20472384157,1534268.7952761583,4696.695709032348,32876.86996322643,446500000.0,0.147101881190688,225693.82603729347,2455124757.8586392,2.205298795593629,52592.44776384137,0.47,24615.665079101713,medium_7y,7,66131.20472384157,36.39581988103553
2048,252527.90043287392,1529572.099567126,4829.527788314403,33806.69451820082,446000000.0,0.14464710343337306,221248.17369488766,2501652288.2728286,2.2046364461444257,53214.079504275556,0.47,24227.27336863357,medium_7y,7,70827.90043287392,38.98068268182384
2049,257357.42822118834,1524742.5717788115,4968.480991775898,34779.36694243128,445500000.0,0.14222262096830082,216852.88486033012,2549495711.602305,2.2040568903763726,53849.93635668639,0.47,23840.886038774326,medium_7y,7,75657.42822118834,41.63865064457255
2050,262325.90921296424,1519774.0907870356,5114.0457162645425,35798.3200138518,445000000.0,0.13982795031537965,212506.89605717087,2598715666.3915,2.203549779079326,54500.54765461268,0.47,23457.03613288697,medium_7y,7,80625.90921296424,44.37309257730557
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,311491.0,1800000000.0,2.3,41650.0,0.47,30000.0,original_10y,10,0.0,0.0
2026,181700.0,1600400.0,431.59521919965044,4315.952191996505,452080000.0,0.19475383931794832,311684.0444444445,1800000000.0,2.2874999999999996,42066.5,0.47,30000.0,original_10y,10,0.0,0.0
2027,182131.59521919966,1599968.4047808005,813.6940696412087,8136.940696412086,452360000.0,0.19446511336352126,311138.03721375065,1804275571.7917411,2.2765625,42487.165,0.47,30003.718459495354,original_10y,10,431.5952191996621,0.23753176620784355
2028,182945.28928884087,1599154.7107111593,1154.9557792066335,11549.557792066335,452640000.0,0.193818586015433,309945.9048499557,1812336382.6082191,2.2669921874999996,42912.54125256718,0.47,29997.792610043984,original_10y,10,1245.2892888408678,0.6853545893455548
2029,184100.2450680475,1597999.7549319526,1461.6039671548265,14616.039671548264,452920000.0,0.19286109461764162,308191.9819348994,1823777881.7968373,2.2586181640625,43343.137180447244,0.47,29973.121292977205,original_10y,10,2400.2450680474867,1.32099343315768
2030,185561.84903520232,1596538.1509647977,1738.6796652002843,17386.796652002842,453200000.0,0.19163556548096516,305953.49137207353,1838257172.6106997,2.251290893554687,43779.431352231106,0.47,29923.86744622815,original_10y,10,3861.849035202322,2.125398478372209
2031,187300.52870040262,1594799.4712995975,1966.7023337997466,19667.023337997467,452960000.0,0.18996297806479603,302952.8569842338,1855481296.9770207,2.2448795318603514,44221.87810259242,0.47,29846.684718752265,original_10y,10,5600.528700402618,3.082294276501174
2032,189267.23103420236,1592832.7689657977,2174.5386711010824,21745.386711010826,452720000.0,0.1881214313183482,299645.9803486137,1874964314.0427306,2.2392695903778073,44670.91212570693,0.47,29733.37732503503,original_10y,10,7567.231034202356,4.164684113485051
2033,191441.76970530345,1590658.2302946968,2365.2775035732134,23652.775035732135,452480000.0,0.1861401305987425,296085.33072501945,1896506249.1444478,2.2343608915805815,45126.92325886724,0.47,29585.96165273891,original_10y,10,9741.76970530345,5.361458285802678
2034,193807.04720887667,1588292.9527911237,2541.619820967107,25416.19820967107,452240000.0,0.1840445673408086,292316.6893068977,1919937726.8903575,2.2300657801330086,45590.28979728686,0.47,29406.951131814407,original_10y,10,12107.04720887667,6.663207049464326
2035,196348.66702984378,1585751.3329701566,2705.939213244294,27059.39213244294,452000000.0,0.18185682145632082,288379.6970340765,1945116129.0793548,2.2263075576163827,46061.38157227795,0.47,29199.14233616182,original_10y,10,14648.667029843782,8.06200717107528
2036,199054.60624308808,1583045.3937569123,2852.2651712187594,28522.651712187595,451600000.0,0.17953227601226585,284207.74257191207,1971922351.3349395,2.2230191129143346,46540.562747428,0.47,28965.453187086885,original_10y,10,17354.606243088085,9.551241740829997
2037,201906.87141430684,1580193.1285856937,2990.9926783218107,29909.926783218107,451200000.0,0.17715851301549718,279944.6649375478,2000178142.7944536,2.220141723800043,47028.19438318002,0.47,28706.84260585149,original_10y,10,20206.871414306836,11.121007933025219
2038,204897.86409262865,1577202.1359073718,3123.6990912288747,31236.990912288747,450800000.0,0.1747484463865279,275613.62288732664,2029808229.8664362,2.2176240083250374,47524.62637315239,0.47,28426.777638812804,original_10y,10,23197.864092628646,12.7671238814687
2039,208021.56318385754,1574078.4368161429,3251.779184401079,32517.79184401079,450400000.0,0.17231292729006753,271234.0632319632,2060752964.9474049,2.215421007284408,48030.210276500235,0.47,28128.43002325957,original_10y,10,26321.563183857535,14.486275830411422
2040,211273.34236825863,1570826.6576317418,3376.471053951312,33764.71053951312,450000000.0,0.1698610294007004,266822.23307538923,2092966517.6822536,2.2134933813738566,48545.301322978135,0.47,27814.671660209322,original_10y,10,29573.34236825863,16.275917649014104
2041,214649.81342220993,1567450.1865777904,3493.325678383882,34933.25678383882,449500000.0,0.1673630711149462,262333.2770453544,2126415322.8397236,2.2118067087021247,49070.26030253689,0.47,27488.079786592534,original_10y,10,32949.81342220993,18.134184602206904
