Stage,Score Train RMSE Percent,Urban Expansion Adjustment Time,RMSE Error Percent,MAE Error Percent,Max Absolute Error Percent,Mean Error Percent,Final Year Error Percent,Reference Initial Land Demand per Capita
stage_2_adjustment_time_plus_land_demand,11.789329331821602,5.59937107034297,11.789329331821602,10.860778093162715,15.168409466153,-10.860778093162715,-11.03248909755286,0.00038873361803941375
stage_1_adjustment_time_only,11.803202858946907,6.010881549919832,11.803202858946907,10.87443241226375,15.168409466153,-10.87443241226375,-11.179198923563174,
stage_1_adjustment_time_only,11.82150045882876,6.316214320896858,11.82150045882876,10.891660767190608,15.168409466153,-10.891660767190608,-11.324560387786905,
stage_2_adjustment_time_plus_land_demand,11.826267326904615,6.268913319747403,11.826267326904615,10.895859928679185,15.168409466153,-10.895859928679185,-11.341454475730432,0.00043048901695636225
stage_2_adjustment_time_plus_land_demand,11.856673203266183,6.74165263937865,11.856673203266183,10.924098314519503,15.168409466153,-10.924098314519503,-11.571624763010828,0.00038732521585361156
stage_1_adjustment_time_only,11.85690130187134,6.9763815316752416,11.85690130187134,10.924704061339016,15.168409466153,-10.924704061339016,-11.606254635612974,
stage_2_adjustment_time_plus_land_demand,11.865551277996843,6.9109477599817275,11.865551277996843,10.93233079739095,15.168409466153,-10.93233079739095,-11.641906211833867,0.000383879639408648
stage_2_adjustment_time_plus_land_demand,11.870609321735621,7.121998561790404,11.870609321735621,10.937187527236762,15.168409466153,-10.937187527236762,-11.697182008017295,0.00043380937252264213
stage_1_adjustment_time_only,11.871537467118138,7.280299029031191,11.871537467118138,10.938255511326739,15.168409466153,-10.938255511326739,-11.722858946731924,
stage_2_adjustment_time_plus_land_demand,11.874262580614788,7.181281382536638,11.874262580614788,10.940537337821269,15.168409466153,-10.940537337821269,-11.724039133173699,0.0004254708230622544
stage_2_adjustment_time_plus_land_demand,11.87803491463547,7.267496820151432,11.87803491463547,10.944028583014328,15.168409466153,-10.944028583014328,-11.754936351189084,0.00042779554214901337
stage_1_adjustment_time_only,11.88507612188168,7.580009674574865,11.88507612188168,10.950734132379289,15.168409466153,-10.950734132379289,-11.83077599248036,
stage_1_adjustment_time_only,11.887876157816937,7.644389701079389,11.887876157816937,10.953308177680583,15.168409466153,-10.953308177680583,-11.85310101876746,
stage_2_adjustment_time_plus_land_demand,11.888675319588364,7.435191596809137,11.888675319588364,10.953736542505668,15.168409466153,-10.953736542505668,-11.831608962646964,0.0003971649165607922
stage_2_adjustment_time_plus_land_demand,11.892101670732295,7.508440250589333,11.892101670732295,10.956881055549436,15.168409466153,-10.956881055549436,-11.858535718088488,0.0003950031242694953
stage_1_adjustment_time_only,11.893482258217215,7.775886664685473,11.893482258217215,10.958454878618783,15.168409466153,-10.958454878618783,-11.897804514578329,
stage_2_adjustment_time_plus_land_demand,11.916029663947663,8.066308679047998,11.916029663947663,10.978762361420435,15.168409466153,-10.978762361420435,-12.048130638348804,0.00038448805543714
stage_2_adjustment_time_plus_land_demand,11.926500807275547,8.292040213683102,11.926500807275547,10.98824514006188,15.168409466153,-10.98824514006188,-12.127010973155247,0.0003638028572256397
stage_2_adjustment_time_plus_land_demand,11.931108709983903,8.450917266711743,11.931108709983903,10.992465704225712,15.168409466153,-10.992465704225712,-12.167520138900535,0.00037668114560746404
stage_2_adjustment_time_plus_land_demand,11.938683314630058,8.807576244680359,11.938683314630058,10.999464761766896,15.168409466153,-10.999464761766896,-12.242213450887167,0.00043123358939246587
stage_2_adjustment_time_plus_land_demand,11.942883613093612,8.917876326770887,11.942883613093612,11.003250879752933,15.168409466153,-11.003250879752933,-12.27455331175508,0.00042567565066880874
